movie_id,rating
85221,
44179,
11238,G
21036,
39103,NR
464154,
91815,NR
24500,
54482,NR
515295,PG-13
51528,
19953,G
20343,G
218726,PG
384345,
19961,
19247,NR
260516,
42001,G
30143,PG-13
22520,
56828,NR
19386,G
13679,
122583,PG-13
37433,
172329,
1361,NR
23166,
212153,PG-13
25587,G
279254,R
18269,G
373879,PG-13
48624,NC-17
1030587,
846993,PG
545742,PG-13
34929,NR
88762,NR
39145,
44734,
83090,
631132,NR
28550,G
127409,
67572,NR
575222,PG
117352,
89458,
31769,
268899,NR
252520,
374853,
212156,
41017,
24102,G
17337,G
25556,G
350499,G
9369,G
39101,
169934,PG-13
1396965,
1231574,PG
1128606,G
1030588,NR
284557,
872976,PG-13
144904,NR
3126,G
13700,PG
14787,
662638,
27287,G
277095,
83797,NR
67713,
40372,NR
61080,G
32328,G
72214,NR
52686,
188403,
30628,
461762,
495925,PG
24034,PG
49076,G
372761,PG-13
297189,PG-13
39206,PG-13
17566,
36868,NR
34297,PG-13
51482,PG-13
44731,PG-13
11243,G
97187,
537921,R
1015724,G
843241,PG-13
791343,
71129,
101806,NR
628964,PG
215180,PG-13
31352,
379686,PG
53478,NR
477777,
428288,
618851,PG-13
197725,G
37024,
37021,
347186,
40123,
461758,PG-13
567006,R
33322,
39228,NR
30575,PG
19594,G
261339,G
357400,PG-13
75571,PG
26730,G
431819,PG-13
23127,R
351065,NR
12600,G
15139,G
37933,PG-13
1397163,NR
1359607,PG-13
1263421,R
1209290,PG-13
998731,
428142,
278901,
99678,
39896,NR
128679,
116315,
116351,
45665,
73714,
305143,G
100311,
52955,G
134758,
117084,
43580,G
165095,
98613,
106164,
86184,
38563,
387470,
59803,
55374,NR
357416,
332169,PG-13
20523,
91088,
17433,NR
28460,PG
39977,
46304,
17710,PG
20694,PG
18890,G
1372489,
1106904,
139753,
795564,
106583,
47466,
36881,
33444,NR
587873,
47217,
20683,
382190,G
608826,
33600,NR
36751,PG
128883,
128868,G
357405,
31933,G
185526,
54648,G
54113,G
150213,G
242546,R
17009,G
23903,G
13313,G
15969,G
589026,NR
1322218,R
85051,
19042,G
410113,G
59717,
8965,G
10898,G
33376,G
24926,G
471495,
47166,G
477779,
493006,
28697,
105444,
95935,
128871,
350650,PG
109526,
329365,
77859,PG-13
53064,
44587,R
47747,
9497,
16402,R
311056,
31726,G
24556,G
303903,PG
20235,G
55215,NR
22582,G
15657,G
86791,
441291,
56191,
1233361,
1223178,
1117609,
1030419,
881211,G
32535,
32533,NR
36072,
165718,NR
221300,
64789,
39106,PG
67166,G
79443,PG
58159,NR
426242,
66834,NR
161715,
161822,
14088,
80607,G
25400,G
239529,PG-13
212161,
50253,
36972,NR
196761,NR
7092,PG-13
73529,NR
9948,G
536552,
1316745,
37928,
14173,
44840,NR
40375,
214676,
163786,
134162,
477447,R
431808,PG-13
98299,G
333623,
20378,G
347200,
372752,PG-13
48874,
1216512,PG
1209288,PG-13
1096648,
968868,R
874743,PG-13
201300,
782054,
67790,NR
742872,
34935,
62182,
100247,
371236,G
719088,NR
254273,
31732,
423336,
41313,NR
494471,
192904,
160642,
103124,G
378240,
28969,G
42070,
13798,G
366978,
89623,G
214553,PG-13
13351,G
93013,
37048,
342588,
55892,NR
1484453,G
1400794,
1201387,NR
829920,
145931,
88013,
145961,
109323,NR
193691,
375079,
631193,
100395,NR
40482,NR
105325,G
28360,NR
81424,
433281,
160446,G
461083,
608085,
109301,NR
153599,
66045,
77248,
129465,
419094,
59593,NR
38567,PG-13
404114,
28302,G
115223,G
171823,
227679,PG
14128,G
1419053,
968870,R
874745,PG-13
645440,
68449,
46033,PG-13
76346,G
587317,PG-13
199414,
59178,
475935,
477776,
455411,G
88625,
161704,
31309,G
27300,NR
70927,
293271,G
19975,G
368708,
212970,
64809,
540141,NR
422347,PG-13
61591,
372751,
347187,
119685,R
11052,PG
16225,R
13683,G
13761,G
77674,
1189199,NR
1129610,NR
1128604,G
1044343,G
1021679,PG-13
67703,NR
91204,NR
48504,
35105,
84319,NR
83200,G
66816,NR
32529,
663881,
145963,
650498,NR
472516,
481760,PG-13
630027,
528225,G
21769,
41078,
29682,NR
161707,
67253,
162092,
35927,G
62736,
136686,
59297,
253987,
401043,
47296,G
16228,NR
219250,
31473,G
16508,G
35614,G
13376,PG-13
14873,G
1148677,
787561,
118792,
48486,
31595,PG-13
285763,
83202,PG
145969,
250906,
37556,NR
507562,G
573683,
587870,NR
496891,
609202,PG-13
162095,
52482,G
44424,
78139,
76190,
150023,
57224,
12630,G
44283,G
403850,
397366,
19016,G
27653,G
23527,
83088,
357411,R
1227694,
1221404,
36154,
8128,
198102,
298015,G
256765,
220845,G
628483,
36748,G
103956,
338379,
128973,
91142,
85398,
22779,NR
51943,
105280,
54491,G
128875,
428862,
448967,
16308,PG-13
31049,PG-13
50482,PG-13
47288,G
40728,PG-13
22466,G
53566,G
109080,
36201,PG
26542,NR
58107,
338103,G
441294,
441319,
441331,
784500,PG-13
203101,
448969,
87785,
729775,
117853,
58704,
87069,
145977,
145967,
39170,
166795,
134750,
42067,PG-13
616020,
68368,
624812,
586945,
62961,
83203,G
81604,
42515,NR
47567,
30606,
184004,
448441,NR
477449,R
424656,G
12448,G
441120,
154189,PG
262833,
441298,
1192735,
1097434,
840873,PG-13
791344,
163772,G
680041,
637202,
113254,
113252,
159893,NR
89905,
84480,
100307,NR
42776,
68625,NR
474659,
48661,G
147576,
61666,
14683,R
39961,G
80865,
632458,
1395140,NR
1284004,PG
1108306,
931034,PG-13
312173,
760758,
203847,G
731249,
27213,NR
172133,
532961,
418189,
32638,
74785,G
14368,
307696,NR
160332,
64777,
45378,PG-13
155017,
84488,
64152,G
31599,PG-13
51985,G
428292,R
137193,
230599,PG
94684,R
339526,G
73530,R
1157408,
441339,
441337,
1360829,NR
947643,
148311,
1012404,
915403,PG-13
280507,
60843,
622841,
186383,
31050,PG-13
21174,
358632,
32873,
359549,
72205,
207249,
72188,
67851,
553610,
136241,
80868,
32202,R
104154,
30863,R
44885,NR
19789,G
48625,
122662,R
14239,PG-13
441135,
441317,
441332,
975490,G
865767,
322686,
637462,
65665,
166610,
30491,
146053,
214163,
28152,NR
99899,
453575,G
570269,R
80861,
215503,
519159,
73799,
125405,NR
72565,
33037,G
72016,
116369,
47556,
28214,NR
109572,PG-13
68263,PG-13
115969,
204755,
114372,
229756,PG-13
441336,
1508427,
1160901,
438465,
1056133,NR
1015602,
128956,
44454,
693356,
146747,G
507732,NC-17
34052,
127824,
16364,PG
404250,
464305,
189071,
48331,
54200,NR
76722,
31053,PG-13
125521,
31051,
162103,
225086,
55958,
364728,
949580,G
930821,R
163754,G
68638,
128887,
189696,
27757,
146061,
146059,
146072,
203848,G
51686,
375462,
539140,
460400,
127408,
532323,NR
142527,
161699,
189068,
338380,
51330,
18948,G
45851,
135915,
16226,NR
502216,NR
1293461,G
955666,
843243,
100165,NR
168202,
146074,
80398,
607033,
55443,
71128,
57123,
125565,
567767,
529589,
38565,
461078,
19256,
179930,PG-13
41365,
38954,
163394,
53894,
239526,
394326,
114371,
123867,
74842,
15485,G
1600672,
1531453,
918428,
801293,
127327,
38952,
305974,
128754,
741770,
118932,
288097,
338383,
338382,
542507,
179923,PG-13
203715,
16860,
105231,
1005252,
1358947,PG
1172228,
919609,
72696,
85811,
146058,
39405,
60964,
31594,PG-13
416401,
572616,PG-13
21250,G
146062,
559519,
136601,
301513,
612087,
90008,
196462,
589082,
29131,G
125513,PG
20089,
56127,
34375,
117314,
66454,PG
239530,
39319,
737931,
1542877,
1317276,NR
997086,PG
52458,
64169,G
426183,
129213,PG-13
47486,
746880,
21770,
80863,PG-13
128867,
315945,PG
86011,NR
291015,
185896,
482722,
71444,
19257,
179933,PG-13
26546,
14307,
16224,R
18068,G
44667,
20756,G
14829,
515915,
1230477,
988099,
597029,
414064,
300442,
208624,
645439,
22679,
315520,
189077,
48215,
16257,NR
145756,
515056,
66628,
76729,
162069,
25525,PG-13
374056,
162072,
133481,
34194,
506215,
1474048,R
432133,
1282280,
1223194,
1179822,
820530,NR
85790,
426518,
160393,
345715,
35589,
497537,
128753,
277218,
25079,
95814,
188682,NR
282915,
27867,
62447,
36523,G
516052,
150027,
57635,
179934,PG-13
412383,
52439,
179931,PG-13
179932,PG-13
26595,
50237,R
166823,NR
267963,
114370,
55426,PG-13
364982,
1172229,
1051942,
73716,
910850,NR
793333,
165682,
80079,
166614,
563689,
63486,G
211825,
59467,
716668,
74623,
172591,
87442,
53452,NR
39045,G
348289,
256439,G
26368,
373394,
627093,G
64168,G
150026,
86161,
24154,
118408,
154501,
36198,G
60669,
80089,PG-13
1404404,
1287324,
1173976,
1119211,
991190,
192591,
37297,G
808604,
80536,
68367,NR
64170,G
84155,
68516,
67090,
90450,
394253,
73792,
76847,
109340,NR
146523,
64154,G
126150,
128396,
42313,PG
56609,
85797,
33371,G
462455,
67010,NR
80857,
80866,PG-13
297188,
33838,G
99306,
53269,
131726,
55430,PG-13
1557933,NR
1061771,
1385773,
1184951,
1051192,
942766,PG
918429,
561817,
812306,
516684,
258407,
833013,
175066,
273452,
55296,
551591,
726550,
469154,
632088,
711683,
74619,
494064,
415547,
247029,
85311,
97907,NR
380770,
56069,
128878,
98952,
150028,
150024,
500376,
36613,
297676,
55438,PG-13
1548774,
1543565,
