genre,movie_id
 Adventure,527729
Animation,360920
 Comedy,360920
 Family,360920
 Fantasy,360920
Family,21705
 Animation,21705
Animation,485942
 Action,485942
 Science Fiction,485942
Animation,41216
 Adventure,41216
 Family,41216
 Fantasy,41216
Animation,15512
 Family,15512
 Adventure,15512
 Science Fiction,15512
Animation,77950
 Family,77950
Family,1226863
 Comedy,1226863
 Adventure,1226863
 Fantasy,1226863
 Animation,1226863
Animation,676710
 Adventure,676710
 Comedy,676710
 Family,676710
 Fantasy,676710
Animation,27357
 Comedy,27357
 War,27357
 Drama,27357
Documentary,48329
 Animation,48329
 Drama,48329
 Fantasy,48329
Animation,54559
 Family,54559
 Comedy,54559
Animation,13927
 Family,13927
Family,130925
 Animation,130925
 Comedy,130925
Family,136406
 Animation,136406
 Science Fiction,136406
Animation,523536
 Comedy,523536
 Adventure,523536
 Fantasy,523536
Animation,13061
 Family,13061
 Comedy,13061
 Documentary,13061
Adventure,15173
 Animation,15173
 Comedy,15173
 Family,15173
 Music,15173
Animation,13391
 Science Fiction,13391
Action,33427
 Adventure,33427
 Animation,33427
 Family,33427
Family,202575
 Fantasy,202575
 Animation,202575
 Adventure,202575
Adventure,2310
 Action,2310
 Animation,2310
Animation,116711
 Adventure,116711
 Family,116711
 Fantasy,116711
Animation,73723
 Family,73723
Family,211672
 Animation,211672
 Adventure,211672
 Comedy,211672
Animation,532952
 Science Fiction,532952
Animation,876716
 Comedy,876716
 Family,876716
 Fantasy,876716
Animation,667717
 Adventure,667717
 Drama,667717
 Fantasy,667717
 Mystery,667717
Animation,55692
 Family,55692
 Comedy,55692
Science Fiction,15990
 Animation,15990
Animation,58515
 Drama,58515
 Science Fiction,58515
Animation,98857
 Comedy,98857
 Adventure,98857
Animation,355338
 Family,355338
Animation,665251
 Science Fiction,665251
Fantasy,228161
 Comedy,228161
 Animation,228161
 Science Fiction,228161
 Family,228161
Animation,16962
 Family,16962
 Fantasy,16962
 Romance,16962
Animation,227200
 Family,227200
Animation,79433
 Adventure,79433
 Fantasy,79433
Animation,285733
 Family,285733
Animation,449574
 Action,449574
 Science Fiction,449574
Family,413644
 Animation,413644
 Comedy,413644
Action,400136
 Animation,400136
 Adventure,400136
 Science Fiction,400136
 Horror,400136
Animation,16577
 Action,16577
 Family,16577
 Science Fiction,16577
Animation,390734
 Science Fiction,390734
 Action,390734
Comedy,10192
 Adventure,10192
 Fantasy,10192
 Animation,10192
 Family,10192
Animation,49013
 Family,49013
 Adventure,49013
 Comedy,49013
Animation,45745
 Fantasy,45745
Animation,635389
 Action,635389
 Fantasy,635389
 Adventure,635389
Animation,598387
 Family,598387
 Fantasy,598387
Animation,289280
 Comedy,289280
Animation,459003
 Adventure,459003
 Family,459003
 Fantasy,459003
Animation,13926
 Family,13926
Animation,421456
 Adventure,421456
Animation,13379
 Family,13379
 Comedy,13379
 TV Movie,13379
Family,255718
 Animation,255718
Animation,11633
 Action,11633
 Science Fiction,11633
Animation,342473
 Adventure,342473
 Comedy,342473
 Family,342473
Adventure,223702
 Animation,223702
 Comedy,223702
 Fantasy,223702
Animation,574093
 Drama,574093
 Family,574093
 Fantasy,574093
Animation,832502
 Fantasy,832502
 Adventure,832502
 Family,832502
 Comedy,832502
Family,549484
 Animation,549484
 Adventure,549484
 Fantasy,549484
Animation,637693
 Adventure,637693
 Family,637693
 Western,637693
Adventure,10199
 Animation,10199
 Family,10199
Adventure,2114
 Action,2114
 Fantasy,2114
 Science Fiction,2114
 Animation,2114
Action,16873
 Adventure,16873
 Animation,16873
 Science Fiction,16873
Animation,10982
 Comedy,10982
 Family,10982
 Crime,10982
 Mystery,10982
Animation,229408
 Comedy,229408
 Family,229408
Animation,546728
 Comedy,546728
 Family,546728
 Science Fiction,546728
Animation,528644
 Comedy,528644
 Family,528644
 Adventure,528644
Animation,460793
 Family,460793
 Adventure,460793
 Comedy,460793
 Fantasy,460793
Family,129533
 Animation,129533
Family,9904
 Animation,9904
 Adventure,9904
 Action,9904
 Comedy,9904
Animation,400155
 Comedy,400155
 Family,400155
 Fantasy,400155
Animation,159824
 Comedy,159824
 Family,159824
 Fantasy,159824
Animation,1371727
 Family,1371727
 Comedy,1371727
 Music,1371727
 Thriller,1371727
Animation,1123093
 Comedy,1123093
 Family,1123093
Animation,31160
 Fantasy,31160
 Horror,31160
 Mystery,31160
Fantasy,810
 Adventure,810
 Animation,810
 Comedy,810
 Family,810
Animation,7484
 Family,7484
 Adventure,7484
 Comedy,7484
Action,79516
 Animation,79516
 Science Fiction,79516
Animation,366672
 Adventure,366672
 Comedy,366672
 Family,366672
Animation,585083
 Comedy,585083
 Family,585083
 Adventure,585083
 Fantasy,585083
Animation,168903
 Family,168903
Animation,114478
 Action,114478
 Science Fiction,114478
Animation,121734
 Comedy,121734
 Adventure,121734
 Family,121734
Animation,355547
 Comedy,355547
 Adventure,355547
 Family,355547
 Fantasy,355547
Animation,45772
 Family,45772
Animation,172385
 Adventure,172385
 Comedy,172385
 Family,172385
Animation,144616
 Family,144616
Animation,1154304
 Adventure,1154304
 Comedy,1154304
 Family,1154304
Animation,1076364
 Family,1076364
 Comedy,1076364
 Romance,1076364
Animation,1022796
 Family,1022796
 Fantasy,1022796
 Adventure,1022796
Animation,818350
 Romance,818350
 Science Fiction,818350
 Family,818350
Animation,816904
 Adventure,816904
 Fantasy,816904
 Family,816904
Animation,797394
 Comedy,797394
 Fantasy,797394
Animation,739547
 Fantasy,739547
 Family,739547
Animation,585511
 Adventure,585511
 Comedy,585511
 Fantasy,585511
 Family,585511
Family,5559
 Animation,5559
 Adventure,5559
 Comedy,5559
Animation,594530
 Comedy,594530
 Family,594530
Family,481084
 Animation,481084
 Comedy,481084
 Fantasy,481084
Animation,295693
 Comedy,295693
 Family,295693
Animation,352812
Family,258152
 Comedy,258152
 Animation,258152
 Fantasy,258152
Comedy,227738
 Animation,227738
 Adventure,227738
Animation,16418
 Family,16418
Animation,91342
 Family,91342
Action,287590
 Animation,287590
 Fantasy,287590
Animation,333667
 Adventure,333667
 Comedy,333667
 Family,333667
 Music,333667
Animation,57800
 Comedy,57800
 Adventure,57800
 Family,57800
Action,324852
 Animation,324852
 Comedy,324852
 Family,324852
 Adventure,324852
Animation,1064307
 Adventure,1064307
 Fantasy,1064307
 Comedy,1064307
Animation,567811
 Comedy,567811
 Family,567811
 Fantasy,567811
Animation,639721
 Family,639721
 Comedy,639721
 Fantasy,639721
 Adventure,639721
Animation,229405
 Family,229405
 Comedy,229405
 Science Fiction,229405
Animation,598331
 Family,598331
Animation,459151
 Comedy,459151
 Adventure,459151
 Family,459151
TV Movie,53985
 Animation,53985
 Family,53985
 Comedy,53985
 Science Fiction,53985
Animation,571891
 Adventure,571891
 Fantasy,571891
 Action,571891
 Family,571891
Animation,25741
 Family,25741
 Adventure,25741
 Drama,25741
 Fantasy,25741
Action,322456
 Adventure,322456
 Animation,322456
 Family,322456
 Comedy,322456
Animation,49953
 Family,49953
Fantasy,9906
 Adventure,9906
 Animation,9906
