movie_index,production_company,movie_id
113,TOHO,315465
113,VAP,315465
113,dentsu,315465
113,Yomiuri Telecasting Corporation,315465
113,D.N. Dream Partners,315465
113,Sapporo Television Broadcasting Company,315465
113,Miyagi Television Broadcasting,315465
113,Shizuoka Daiichi Television,315465
113,Hiroshima Telecasting,315465
113,Fukuoka Broadcasting System,315465
113,KADOKAWA,315465
113,Chukyo TV Broadcasting Company,315465
114,Studio Ghibli,51739
114,Hakuhodo DY Media Partners,51739
114,Mitsubishi Shoji,51739
114,dentsu,51739
114,TOHO,51739
114,Nippon Television Network Corporation,51739
114,Wild Bunch,51739
114,The Walt Disney Company (Japan),51739
115,Walt Disney Pictures,11544
116,Climax Studios,1165642
116,Red Dog Culture House,1165642
116,SLL,1165642
117,Remembers,804370
117,MountainA,804370
117,France 3 Cinéma,804370
117,Fit Via Vi,804370
117,Sons of Rigor Films,804370
118,ufotable,802401
119,Studio Chizu,776305
119,Nippon Television Network Corporation,776305
119,dentsu,776305
119,TOHO,776305
119,KADOKAWA,776305
119,Hakuhodo DY Media Partners,776305
119,Yomiuri Telecasting Corporation,776305
119,BookWalker,776305
119,NTT Docomo,776305
119,Lawson Entertainment,776305
119,Yomiuri Shimbun Company,776305
119,movic,776305
120,Madhouse,14069
120,Happinet Pictures,14069
120,KADOKAWA,14069
120,KADOKAWA Shoten,14069
120,Q-TEC,14069
120,Memory-Tech,14069
120,Studio Chizu,14069
121,TFC,71883
121,Madhouse,71883
122,Walt Disney Studio,53565
123,Toei Company,503314
123,Shueisha,503314
123,Fuji Television Network,503314
123,Toei Animation,503314
123,Bandai,503314
123,Bandai Namco Entertainment,503314
124,Alcon Entertainment,475946
124,CyPic,475946
125,Les Films Pelléas,396899
125,Les Films Sauvages,396899
126,Pony Canyon,330081
126,WIT STUDIO,330081
126,MBS,330081
126,Production I.G,330081
126,Kodansha,330081
127,Kyoto Animation,120811
127,Shochiku,120811
127,TBS,120811
127,movic,120811
127,Pony Canyon,120811
128,Filme de Papel,223706
128,Petrobras,223706
129,Bandai Visual,9606
129,Destination Films,9606
129,TOHO,9606
129,dentsu Music and Entertainment,9606
129,King Records,9606
129,Madhouse,9606
129,KADOKAWA Shoten,9606
129,Tezuka Productions,9606
129,IMAGICA,9606
129,STUDIO4℃,9606
129,Sony Pictures Television Japan,9606
129,dentsu,9606
130,Cartoon Network Studios,354857
131,DHX Media,292177
131,Hasbro Studios,292177
132,Studios Idéfix,9385
132,Dargaud Films,9385
132,Les Productions René Goscinny,9385
132,Halas and Batchelor Cartoon Films,9385
133,Disney Television Animation,594328
134,Bandai Visual,42994
134,Shochiku,42994
134,Madhouse,42994
134,Kodansha,42994
134,STUDIO4℃,42994
135,Story,1056444
135,Science SARU,1056444
135,TOHO,1056444
135,Lawson,1056444
135,jeki,1056444
136,NoneMore Productions,995133
136,Bad Robot,995133
136,BBC,995133
137,France 3 Cinéma,947219
137,Les Armateurs,947219
137,StudioCanal,947219
137,Folivari,947219
137,Melusine Productions,947219
138,NUT,887870
138,TOHO,887870
139,Pony Canyon,820067
139,Nichion,820067
139,Bibury Animation Studios,820067
139,BS11,820067
139,GYAO,820067
139,Kodansha,820067
139,Good Smile Film,820067
139,Bushiroad,820067
139,MAGNET,820067
139,TBS,820067
140,Walt Disney Feature Animation,11688
140,Walt Disney Pictures,11688
141,Isle of Man Film,63498
141,CinemaNX,63498
141,Estudio Mariscal,63498
141,Fernando Trueba PC,63498
141,HanWay Films,63498
141,Magic Light Pictures,63498
141,Mesfilms,63498
141,TV3,63498
141,TVE,63498
142,DreamWorks Pictures,9837
142,DreamWorks Animation,9837
143,Studio Mir,666243
143,Hivemind,666243
143,Little Schmidt Productions,666243
143,Platige Films,666243
144,Abrakan Estudio,361705
144,Basque Films,361705
144,La Competencia Producciones,361705
144,ZircoZine,361705
145,Walt Disney Productions,3170
146,Walt Disney Productions,10882
147,Walt Disney Productions,11360
148,Walt Disney Productions,11224
149,Warner Bros. Pictures,20007
150,Tokuma Shoten,15916
150,Studio Deen,15916
151,Toei Animation,41498
151,Shueisha,41498
151,Fuji Television Network,41498
151,Bandai,41498
151,Toei Company,41498
152,Warner Bros. Family Entertainment,14919
153,TriStar Pictures,11299
153,Bandai Visual,11299
153,Destination Films,11299
153,SUNRISE,11299
153,Emotion,11299
153,BONES,11299
154,Walt Disney Feature Animation,11970
155,Warner Bros. Pictures,55931
155,Village Roadshow Pictures,55931
155,Silver Pictures,55931
155,Square USA,55931
155,STUDIO4℃,55931
155,Madhouse,55931
155,D N A,55931
156,BONES,1159311
156,TOHO,1159311
156,Yomiuri Telecasting Corporation,1159311
156,Shueisha,1159311
156,Nippon Television Network Corporation,1159311
156,dentsu,1159311
156,Sony Music Entertainment (Japan),1159311
156,movic,1159311
157,Toei Animation,900667
157,Shueisha,900667
157,Toei Company,900667
157,Fuji Television Network,900667
157,Bandai,900667
157,Bandai Namco Entertainment,900667
157,ADK Emotions,900667
157,dentsu,900667
158,Williams Street,828898
158,Astro Base GO!,828898
158,Titmouse,828898
159,Detour Filmproduction,664996
159,Submarine,664996
160,Walt Disney Pictures,10545
160,Walt Disney Feature Animation,10545
161,Aniplex,13754
161,Shogakukan,13754
161,STUDIO4℃,13754
161,Asmik Ace Entertainment,13754
161,Beyond C.,13754
162,20th Century Studios,504827
162,Bento Box Entertainment,504827
163,Science SARU,642538
163,Asmik Ace,642538
163,Aniplex,642538
163,CoMix Wave Films,642538
163,KDDI,642538
163,Open Culture Entertainment,642538
163,MIXI,642538
163,Filmarks,642538
163,Nippan Group Holdings,642538
164,Madhouse,521296
164,DLE,521296
164,Wakaokami Project,521296
164,Kodansha,521296
164,TV Tokyo,521296
164,GAGA Corporation,521296
164,AT-X,521296
164,NADA Holdings,521296
164,NAS,521296
164,Aeon Entertainment,521296
165,Science SARU,530079
165,Fuji Television Network,530079
165,TOHO,530079
165,jeki,530079
165,Shogakukan,530079
165,KDDI,530079
165,Lawson Entertainment,530079
166,United Feature Syndicate,15374
166,Cinema Center Films,15374
166,Lee Mendelson Film Productions,15374
166,Bill Melendez Productions,15374
167,Walt Disney Productions,10340
168,Walt Disney Productions,9325
169,Société Radio-Canada,49565
169,CBC,49565
169,ONF | NFB,49565
170,Production I.G,14572
170,Bandai Visual,14572
170,TFC,14572
170,ING,14572
171,Nepenthe Productions,30060
171,Goldcrest,30060
172,Madhouse,15999
172,Goodhill Vision,15999
172,Filmlink International,15999
172,BMG Funhouse,15999
172,movic,15999
172,Softcapital,15999
173,Aniplex,317442
173,Pierrot,317442
173,Bandai Visual,317442
173,dentsu,317442
173,Shueisha,317442
173,TV Tokyo,317442
174,khara,22843
175,Madhouse,28874
175,Nippon Television Network Corporation,28874
175,KADOKAWA Shoten,28874
175,D.N. Dream Partners,28874
175,Warner Bros. Japan,28874
175,Yomiuri Telecasting Corporation,28874
175,VAP,28874
175,Studio Chizu,28874
176,Warner Bros. Animation,321528
176,DC,321528
177,Warner Bros. Animation,69735
177,Warner Premiere,69735
177,DC,69735
178,Breakthru Films,339877
178,Trademark Films,339877
178,RBF Productions,339877
178,Odra-Film,339877
178,Centrum Technologii Audiowizualnych,339877
179,Fox Animation Studios,9444
179,20th Century Fox,9444
180,A-1 Pictures,761898
180,EGG FIRM,761898
180,Straight Edge,761898
180,Aniplex,761898
180,KADOKAWA,761898
180,Bandai Namco Entertainment,761898
181,UniKo,587092
181,Schmuby Productions,587092
181,Autour de Minuit,587092
181,Panique!,587092
181,Abano Productions,587092
181,TVE,587092
182,Signal.MD,579741
182,Sublimation,579741
183,Gracie Films,35
183,20th Century Fox,35
184,Studio Ghibli,15283
185,Rankin/Bass Productions,10150
185,ITC Entertainment,10150
186,Walt Disney Animation Studios,10198
187,Science SARU,430214
187,Fuji Television Network,430214
187,TOHO,430214
187,BS Fuji,430214
187,KADOKAWA,430214
188,Sygnatia,510318
188,Glow,510318
188,Submarine,510318
188,Hampa Animation Studio,510318
188,Movistar Plus+,510318
188,TeleMadrid,510318
188,Canal Extremadura,510318
188,Aragón TV,510318
188,ZDF/Arte,510318
188,TVE,510318
189,Warner Bros. Animation,474395
189,DC Entertainment,474395
190,Little Dream Entertainment,453364
190,ORF,453364
190,Filmförderung Hamburg Schleswig-Holstein,453364
190,OFI,453364
190,HessenFilm und Medien,453364
190,Pixeltruck,453364
190,ZDF,453364
190,Coop99 Filmproduktion,453364
191,Norman Twain Productions,52032
192,Hungarofilm,22501
192,BBC,22501
192,Pannónia Filmstúdió,22501
192,TF1 Films Production,22501
192,WDR,22501
192,Südwestfunk,22501
