,id,rank,adult,title,status,country,imdb_id,runtime,tvdb_id,language,mediatype,release_date,release_year,spoken_language,imdb,tmdb,tvdb,mdblist
55,433,56,0,Mary Poppins,Released,us,tt0058331,139.0,762.0,en,movie,1964-12-17,1964.0,en,tt0058331,433,762.0,bezt
56,812,57,0,Aladdin,Released,us,tt0103639,91.0,285.0,en,movie,1992-11-25,1992.0,en,tt0103639,812,285.0,a84q
57,20722,58,0,La Maison en Petits Cubes,Released,jp,tt1361566,12.0,11771.0,ja,movie,2008-06-10,2008.0,xx,tt1361566,20722,11771.0,1mxf
58,573730,59,0,Made in Abyss: Dawn of the Deep Soul,Released,jp,tt10068916,105.0,132810.0,ja,movie,2020-01-17,2020.0,ja,tt10068916,573730,132810.0,1i3k
59,508965,60,0,Klaus,released,es,tt4729430,97.0,25921.0,en,movie,2019-11-08,2019.0,en,tt4729430,508965,25921.0,1esu
60,635302,61,0,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,released,jp,tt11032374,117.0,131963.0,ja,movie,2020-10-16,2020.0,ja,tt11032374,635302,131963.0,1eix
61,476292,62,0,Maquia: When the Promised Flower Blooms,released,jp,tt7339826,115.0,508.0,ja,movie,2018-02-24,2018.0,ja,tt7339826,476292,508.0,1c0o
62,10895,63,0,Pinocchio,Released,us,tt0032910,88.0,,en,movie,1940-02-23,1940.0,en,tt0032910,10895,,ykh
63,408,64,0,Snow White and the Seven Dwarfs,Released,us,tt0029583,83.0,,en,movie,1938-01-14,1938.0,en,tt0029583,408,,yk3
64,212162,65,0,Puella Magi Madoka Magica the Movie Part III: Rebellion,Released,jp,tt2457282,117.0,10314.0,ja,movie,2013-10-26,2013.0,ja,tt2457282,212162,10314.0,61o
65,9081,66,0,Waking Life,Released,us,tt0243017,101.0,9303.0,en,movie,2001-10-19,2001.0,en,tt0243017,9081,9303.0,3fh
66,37797,67,0,Whisper of the Heart,released,jp,tt0113824,111.0,1218.0,ja,movie,1995-07-15,1995.0,ja,tt0113824,37797,1218.0,2hu
67,149,68,0,Akira,Released,jp,tt0094625,124.0,1332.0,ja,movie,1988-06-10,1988.0,ja,tt0094625,149,1332.0,113
68,916224,69,0,Suzume,Released,jp,tt16428256,122.0,331904.0,ja,movie,2022-11-11,2022.0,ja,tt16428256,916224,331904.0,2uw16
69,712454,70,0,The Summit of the Gods,released,fr,tt7014378,95.0,268400.0,fr,movie,2021-09-22,2021.0,fr,tt7014378,712454,268400.0,kqaa
70,16234,71,0,Batman Beyond: Return of the Joker,Released,us,tt0233298,77.0,,en,movie,2000-12-12,2000.0,en,tt0233298,16234,,fh04
71,21712,72,0,Mind Game,Released,jp,tt0452039,103.0,10542.0,ja,movie,2004-08-07,2004.0,ja,tt0452039,21712,10542.0,bvkp
72,13398,73,0,Tokyo Godfathers,released,jp,tt0388473,92.0,6394.0,ja,movie,2003-12-05,2003.0,ja,tt0388473,13398,6394.0,btm8
73,568012,74,0,One Piece: Stampede,Released,jp,tt9430698,101.0,131535.0,ja,movie,2019-01-03,2019.0,ja,tt9430698,568012,131535.0,19v8
74,378108,75,0,In This Corner of the World,Released,jp,tt4769824,130.0,9534.0,ja,movie,2016-11-12,2016.0,ja,tt4769824,378108,9534.0,56t
75,33320,76,0,Millennium Actress,released,jp,tt0291350,87.0,9288.0,ja,movie,2002-09-14,2002.0,ja,tt0291350,33320,9288.0,4ab
76,41201,77,0,The Illusionist,Released,fr,tt0775489,80.0,6417.0,fr,movie,2010-06-16,2010.0,en,tt0775489,41201,6417.0,46j
77,435129,78,0,The Breadwinner,Released,ie,tt3901826,94.0,6706.0,en,movie,2017-11-17,2017.0,en,tt3901826,435129,6706.0,3ea
78,337703,79,0,The Red Turtle,Released,be,tt3666024,81.0,8097.0,fr,movie,2016-03-27,2016.0,xx,tt3666024,337703,8097.0,2mo
79,4977,80,0,Paprika,released,jp,tt0851578,90.0,5557.0,ja,movie,2006-10-01,2006.0,ja,tt0851578,4977,5557.0,1ur
80,9323,81,0,Ghost in the Shell,released,jp,tt0113568,83.0,4549.0,ja,movie,1995-11-18,1995.0,ja,tt0113568,9323,4549.0,z0
81,10674,82,0,Mulan,Released,us,tt0120762,88.0,592.0,en,movie,1998-06-18,1998.0,en,tt0120762,10674,592.0,la
82,1575337,83,0,Cosmic Princess Kaguya!,released,jp,tt38872297,141.0,371008.0,ja,movie,2026-01-22,2026.0,ja,tt38872297,1575337,371008.0,43snd
83,1012201,84,0,HAIKYU!! The Dumpster Battle,Released,jp,tt30476486,84.0,347499.0,ja,movie,2024-02-16,2024.0,ja,tt30476486,1012201,347499.0,2xdpg
84,13396,85,0,The Snowman,Released,gb,tt0084701,25.0,,en,movie,1982-12-26,1982.0,xx,tt0084701,13396,,fh0b
85,16859,86,0,Kiki's Delivery Service,Released,jp,tt0097814,103.0,783.0,ja,movie,1989-07-29,1989.0,ja,tt0097814,16859,783.0,b4kz
86,592350,87,0,My Hero Academia: Heroes Rising,released,jp,tt11107074,104.0,131342.0,ja,movie,2019-12-20,2019.0,ja,tt11107074,592350,131342.0,1ayy
87,568160,88,0,Weathering with You,released,jp,tt9426210,112.0,131137.0,ja,movie,2019-07-19,2019.0,ja,tt9426210,568160,131137.0,19wj
88,10857,89,0,When the Wind Blows,Released,gb,tt0090315,84.0,,en,movie,1986-10-24,1986.0,en,tt0090315,10857,,73b
89,21348,90,0,Kirikou and the Sorceress,Released,be,tt0181627,71.0,,fr,movie,1998-12-09,1998.0,,tt0181627,21348,,5k0
90,472983,91,0,Invader Zim: Enter the Florpus,Released,us,tt6739094,71.0,70984.0,en,movie,2019-08-16,2019.0,en,tt6739094,472983,70984.0,5ih
91,13980,92,0,Sword of the Stranger,released,jp,tt1121794,103.0,5110.0,ja,movie,2007-09-29,2007.0,ja,tt1121794,13980,5110.0,3qv
92,14282,93,0,Ninja Scroll,Released,jp,tt0107692,94.0,3751.0,ja,movie,1993-06-05,1993.0,ja,tt0107692,14282,3751.0,3e3
93,14092,94,0,Ghost in the Shell 2.0,Released,jp,tt1260502,85.0,6395.0,ja,movie,2008-07-12,2008.0,ja,tt1260502,14092,6395.0,3cv
94,250480,95,0,The Many Adventures of Winnie the Pooh,Released,us,tt0076363,74.0,,en,movie,1977-03-11,1977.0,en,tt0076363,250480,,2ky
